source,target
"[30, 34, 23, 11]","[11, 23, 34, 30]"
"[44, 13, 7, 51, 42]","[42, 51, 7, 13, 44]"
"[46, 14, 33, 17, 26, 18]","[18, 26, 17, 33, 14, 46]"
"[13, 47, 6, 22, 35, 27, 55]","[55, 27, 35, 22, 6, 47, 13]"
"[25, 8, 22, 8, 30, 12, 46, 38]","[38, 46, 12, 30, 8, 22, 8, 25]"
"[50, 50, 52, 5, 28, 19, 38, 45, 41]","[41, 45, 38, 19, 28, 5, 52, 50, 50]"
"[59, 20, 56, 17]","[17, 56, 20, 59]"
"[43, 45, 35, 43, 9]","[9, 43, 35, 45, 43]"
"[35, 38, 10, 5, 55, 57]","[57, 55, 5, 10, 38, 35]"
"[26, 11, 42, 18, 13, 26, 27]","[27, 26, 13, 18, 42, 11, 26]"
"[27, 50, 27, 28, 24, 27, 22, 4]","[4, 22, 27, 24, 28, 27, 50, 27]"
"[30, 7, 33, 16, 27, 16, 50, 20, 30]","[30, 20, 50, 16, 27, 16, 33, 7, 30]"
"[60, 60, 38, 30]","[30, 38, 60, 60]"
"[25, 42, 28, 54, 16]","[16, 54, 28, 42, 25]"
"[42, 38, 7, 32, 16, 48]","[48, 16, 32, 7, 38, 42]"
"[58, 48, 38, 35, 36, 38, 47]","[47, 38, 36, 35, 38, 48, 58]"
"[17, 10, 43, 20, 27, 16, 22, 38]","[38, 22, 16, 27, 20, 43, 10, 17]"
"[24, 56, 10, 43, 26, 46, 8, 23, 10]","[10, 23, 8, 46, 26, 43, 10, 56, 24]"
"[40, 40, 44, 56]","[56, 44, 40, 40]"
"[6, 29, 10, 56, 7]","[7, 56, 10, 29, 6]"
"[58, 14, 32, 28, 54, 37]","[37, 54, 28, 32, 14, 58]"
"[13, 59, 53, 12, 24, 14, 20]","[20, 14, 24, 12, 53, 59, 13]"
"[9, 54, 57, 54, 59, 49, 33, 59]","[59, 33, 49, 59, 54, 57, 54, 9]"
"[47, 20, 44, 4, 23, 11, 19, 34, 6]","[6, 34, 19, 11, 23, 4, 44, 20, 47]"
"[7, 52, 11, 20]","[20, 11, 52, 7]"
"[5, 42, 28, 31, 25]","[25, 31, 28, 42, 5]"
"[48, 49, 29, 17, 40, 16]","[16, 40, 17, 29, 49, 48]"
"[14, 15, 53, 57, 35, 19, 33]","[33, 19, 35, 57, 53, 15, 14]"
"[7, 52, 22, 31, 9, 45, 42, 56]","[56, 42, 45, 9, 31, 22, 52, 7]"
"[31, 4, 35, 15, 6, 54, 35, 32, 53]","[53, 32, 35, 54, 6, 15, 35, 4, 31]"
"[19, 55, 54, 32]","[32, 54, 55, 19]"
"[4, 21, 25, 19, 50]","[50, 19, 25, 21, 4]"
"[49, 11, 4, 17, 27, 36]","[36, 27, 17, 4, 11, 49]"
"[27, 13, 11, 17, 40, 54, 13]","[13, 54, 40, 17, 11, 13, 27]"
"[43, 24, 36, 16, 57, 8, 20, 20]","[20, 20, 8, 57, 16, 36, 24, 43]"
"[47, 30, 49, 22, 23, 27, 29, 46, 14]","[14, 46, 29, 27, 23, 22, 49, 30, 47]"
"[23, 25, 23, 19]","[19, 23, 25, 23]"
"[4, 6, 26, 34, 13]","[13, 34, 26, 6, 4]"
"[45, 50, 31, 45, 43, 54]","[54, 43, 45, 31, 50, 45]"
"[13, 48, 28, 53, 33, 26, 51]","[51, 26, 33, 53, 28, 48, 13]"
"[24, 8, 45, 14, 23, 15, 44, 28]","[28, 44, 15, 23, 14, 45, 8, 24]"
"[41, 33, 43, 55, 38, 6, 14, 12, 41]","[41, 12, 14, 6, 38, 55, 43, 33, 41]"
"[6, 28, 19, 40]","[40, 19, 28, 6]"
"[50, 46, 54, 45, 22]","[22, 45, 54, 46, 50]"
"[10, 40, 4, 30, 25, 27]","[27, 25, 30, 4, 40, 10]"
"[35, 38, 28, 36, 32, 49, 41]","[41, 49, 32, 36, 28, 38, 35]"
"[53, 56, 21, 20, 28, 52, 33, 39]","[39, 33, 52, 28, 20, 21, 56, 53]"
"[47, 56, 24, 36, 26, 45, 44, 50, 48]","[48, 50, 44, 45, 26, 36, 24, 56, 47]"
"[10, 44, 53, 37]","[37, 53, 44, 10]"
"[43, 13, 21, 17, 20]","[20, 17, 21, 13, 43]"
"[14, 59, 11, 57, 46, 23]","[23, 46, 57, 11, 59, 14]"
"[53, 4, 28, 14, 39, 23, 50]","[50, 23, 39, 14, 28, 4, 53]"
"[46, 4, 16, 50, 33, 54, 53, 56]","[56, 53, 54, 33, 50, 16, 4, 46]"
"[29, 40, 52, 19, 19, 22, 17, 59, 16]","[16, 59, 17, 22, 19, 19, 52, 40, 29]"
"[19, 12, 37, 55]","[55, 37, 12, 19]"
"[56, 47, 45, 27, 4]","[4, 27, 45, 47, 56]"
"[59, 49, 16, 42, 16, 17]","[17, 16, 42, 16, 49, 59]"
"[59, 56, 51, 28, 25, 16, 24]","[24, 16, 25, 28, 51, 56, 59]"
"[37, 37, 51, 29, 59, 15, 57, 35]","[35, 57, 15, 59, 29, 51, 37, 37]"
"[40, 35, 51, 56, 14, 37, 45, 19, 12]","[12, 19, 45, 37, 14, 56, 51, 35, 40]"
"[58, 36, 26, 6]","[6, 26, 36, 58]"
"[20, 19, 59, 29, 41]","[41, 29, 59, 19, 20]"
"[31, 6, 26, 47, 54, 42]","[42, 54, 47, 26, 6, 31]"
"[46, 22, 47, 41, 58, 37, 46]","[46, 37, 58, 41, 47, 22, 46]"
"[16, 9, 22, 13, 6, 48, 47, 32]","[32, 47, 48, 6, 13, 22, 9, 16]"
"[54, 47, 26, 45, 25, 14, 20, 7, 47]","[47, 7, 20, 14, 25, 45, 26, 47, 54]"
"[55, 31, 8, 19]","[19, 8, 31, 55]"
"[52, 28, 52, 19, 19]","[19, 19, 52, 28, 52]"
"[28, 40, 39, 28, 13, 39]","[39, 13, 28, 39, 40, 28]"
"[35, 14, 39, 53, 29, 13, 55]","[55, 13, 29, 53, 39, 14, 35]"
"[53, 32, 7, 15, 11, 54, 4, 56]","[56, 4, 54, 11, 15, 7, 32, 53]"
"[28, 37, 38, 5, 24, 23, 42, 34, 51]","[51, 34, 42, 23, 24, 5, 38, 37, 28]"
"[4, 16, 16, 33]","[33, 16, 16, 4]"
"[52, 4, 32, 58, 38]","[38, 58, 32, 4, 52]"
"[48, 26, 4, 47, 47, 46]","[46, 47, 47, 4, 26, 48]"
"[39, 49, 22, 32, 40, 19, 9]","[9, 19, 40, 32, 22, 49, 39]"
"[35, 41, 37, 50, 24, 24, 24, 24]","[24, 24, 24, 24, 50, 37, 41, 35]"
"[34, 38, 18, 56, 47, 31, 40, 57, 16]","[16, 57, 40, 31, 47, 56, 18, 38, 34]"
"[23, 22, 16, 22]","[22, 16, 22, 23]"
"[56, 24, 49, 35, 6]","[6, 35, 49, 24, 56]"
"[37, 39, 59, 20, 42, 21]","[21, 42, 20, 59, 39, 37]"
"[20, 22, 31, 49, 32, 13, 59]","[59, 13, 32, 49, 31, 22, 20]"
"[12, 14, 46, 14, 38, 7, 50, 4]","[4, 50, 7, 38, 14, 46, 14, 12]"
"[58, 20, 35, 6, 35, 37, 10, 17, 47]","[47, 17, 10, 37, 35, 6, 35, 20, 58]"
"[40, 56, 56, 29]","[29, 56, 56, 40]"
"[57, 11, 35, 28, 31]","[31, 28, 35, 11, 57]"
"[32, 55, 31, 20, 43, 39]","[39, 43, 20, 31, 55, 32]"
"[42, 32, 15, 11, 55, 9, 60]","[60, 9, 55, 11, 15, 32, 42]"
"[19, 5, 51, 42, 7, 19, 5, 49]","[49, 5, 19, 7, 42, 51, 5, 19]"
"[53, 38, 23, 51, 25, 25, 33, 49, 44]","[44, 49, 33, 25, 25, 51, 23, 38, 53]"
"[59, 26, 47, 50]","[50, 47, 26, 59]"
"[36, 47, 48, 24, 7]","[7, 24, 48, 47, 36]"
"[18, 59, 15, 7, 33, 55]","[55, 33, 7, 15, 59, 18]"
"[25, 37, 49, 57, 49, 11, 56]","[56, 11, 49, 57, 49, 37, 25]"
"[19, 8, 28, 7, 59, 38, 9, 27]","[27, 9, 38, 59, 7, 28, 8, 19]"
"[45, 26, 45, 51, 26, 29, 20, 38, 10]","[10, 38, 20, 29, 26, 51, 45, 26, 45]"
"[16, 26, 42, 54]","[54, 42, 26, 16]"
"[47, 58, 23, 29, 4]","[4, 29, 23, 58, 47]"
"[36, 48, 53, 19, 40, 57]","[57, 40, 19, 53, 48, 36]"
"[42, 34, 23, 54, 29, 45, 18]","[18, 45, 29, 54, 23, 34, 42]"
"[42, 5, 26, 5, 56, 9, 44, 18]","[18, 44, 9, 56, 5, 26, 5, 42]"
"[23, 46, 23, 57, 30, 4, 54, 14, 54]","[54, 14, 54, 4, 30, 57, 23, 46, 23]"
"[51, 41, 23, 59]","[59, 23, 41, 51]"
"[20, 28, 46, 26, 58]","[58, 26, 46, 28, 20]"
"[56, 5, 15, 52, 22, 54]","[54, 22, 52, 15, 5, 56]"
"[19, 29, 16, 54, 24, 7, 44]","[44, 7, 24, 54, 16, 29, 19]"
"[28, 50, 26, 47, 51, 46, 23, 52]","[52, 23, 46, 51, 47, 26, 50, 28]"
"[38, 41, 43, 17, 26, 41, 54, 26, 27]","[27, 26, 54, 41, 26, 17, 43, 41, 38]"
"[28, 34, 23, 60]","[60, 23, 34, 28]"
"[51, 11, 49, 19, 53]","[53, 19, 49, 11, 51]"
"[38, 22, 36, 46, 51, 39]","[39, 51, 46, 36, 22, 38]"
"[25, 5, 33, 35, 34, 33, 49]","[49, 33, 34, 35, 33, 5, 25]"
"[5, 44, 47, 23, 25, 52, 32, 5]","[5, 32, 52, 25, 23, 47, 44, 5]"
"[26, 25, 33, 10, 12, 54, 55, 12, 24]","[24, 12, 55, 54, 12, 10, 33, 25, 26]"
"[9, 22, 54, 37]","[37, 54, 22, 9]"
"[19, 56, 21, 42, 10]","[10, 42, 21, 56, 19]"
"[15, 60, 43, 4, 55, 16]","[16, 55, 4, 43, 60, 15]"
"[43, 29, 15, 4, 54, 11, 8]","[8, 11, 54, 4, 15, 29, 43]"
"[59, 59, 5, 31, 29, 48, 5, 41]","[41, 5, 48, 29, 31, 5, 59, 59]"
"[47, 45, 29, 42, 42, 23, 10, 31, 33]","[33, 31, 10, 23, 42, 42, 29, 45, 47]"
"[13, 54, 14, 53]","[53, 14, 54, 13]"
"[15, 41, 56, 56, 4]","[4, 56, 56, 41, 15]"
"[20, 26, 41, 8, 41, 6]","[6, 41, 8, 41, 26, 20]"
"[4, 29, 9, 25, 35, 17, 58]","[58, 17, 35, 25, 9, 29, 4]"
"[39, 6, 17, 25, 47, 20, 51, 43]","[43, 51, 20, 47, 25, 17, 6, 39]"
"[12, 8, 9, 34, 58, 22, 59, 58, 5]","[5, 58, 59, 22, 58, 34, 9, 8, 12]"
"[55, 12, 43, 58]","[58, 43, 12, 55]"
"[43, 56, 33, 36, 54]","[54, 36, 33, 56, 43]"
"[41, 23, 33, 18, 53, 30]","[30, 53, 18, 33, 23, 41]"
"[30, 50, 34, 30, 49, 34, 45]","[45, 34, 49, 30, 34, 50, 30]"
"[17, 13, 18, 17, 51, 33, 27, 53]","[53, 27, 33, 51, 17, 18, 13, 17]"
"[45, 9, 5, 50, 55, 14, 40, 22, 38]","[38, 22, 40, 14, 55, 50, 5, 9, 45]"
"[16, 59, 50, 58]","[58, 50, 59, 16]"
"[32, 21, 13, 45, 19]","[19, 45, 13, 21, 32]"
"[8, 50, 6, 52, 4, 43]","[43, 4, 52, 6, 50, 8]"
"[14, 43, 37, 49, 5, 22, 29]","[29, 22, 5, 49, 37, 43, 14]"
"[60, 21, 43, 10, 38, 39, 15, 14]","[14, 15, 39, 38, 10, 43, 21, 60]"
"[4, 12, 60, 5, 8, 12, 52, 33, 23]","[23, 33, 52, 12, 8, 5, 60, 12, 4]"
"[24, 25, 44, 17]","[17, 44, 25, 24]"
"[55, 48, 14, 23, 42]","[42, 23, 14, 48, 55]"
"[58, 40, 59, 46, 20, 23]","[23, 20, 46, 59, 40, 58]"
"[47, 9, 12, 41, 9, 20, 23]","[23, 20, 9, 41, 12, 9, 47]"
"[19, 48, 36, 7, 7, 4, 58, 45]","[45, 58, 4, 7, 7, 36, 48, 19]"
"[9, 49, 29, 51, 39, 21, 13, 47, 4]","[4, 47, 13, 21, 39, 51, 29, 49, 9]"
"[5, 18, 30, 43]","[43, 30, 18, 5]"
"[57, 17, 13, 45, 42]","[42, 45, 13, 17, 57]"
"[58, 9, 57, 8, 31, 8]","[8, 31, 8, 57, 9, 58]"
"[57, 31, 54, 42, 5, 51, 18]","[18, 51, 5, 42, 54, 31, 57]"
"[53, 36, 22, 21, 20, 35, 24, 57]","[57, 24, 35, 20, 21, 22, 36, 53]"
"[9, 33, 49, 28, 22, 50, 60, 34, 38]","[38, 34, 60, 50, 22, 28, 49, 33, 9]"
"[59, 38, 44, 27]","[27, 44, 38, 59]"
"[51, 45, 53, 47, 12]","[12, 47, 53, 45, 51]"
"[38, 24, 19, 11, 22, 46]","[46, 22, 11, 19, 24, 38]"
"[41, 33, 35, 40, 16, 30, 45]","[45, 30, 16, 40, 35, 33, 41]"
"[39, 15, 59, 56, 6, 54, 22, 53]","[53, 22, 54, 6, 56, 59, 15, 39]"
"[51, 4, 56, 57, 4, 24, 39, 59, 44]","[44, 59, 39, 24, 4, 57, 56, 4, 51]"
"[54, 15, 24, 47]","[47, 24, 15, 54]"
"[40, 37, 43, 36, 34]","[34, 36, 43, 37, 40]"
"[42, 43, 60, 6, 23, 52]","[52, 23, 6, 60, 43, 42]"
"[52, 22, 56, 21, 22, 50, 35]","[35, 50, 22, 21, 56, 22, 52]"
"[26, 10, 41, 32, 52, 7, 34, 54]","[54, 34, 7, 52, 32, 41, 10, 26]"
"[24, 23, 26, 14, 24, 19, 56, 26, 37]","[37, 26, 56, 19, 24, 14, 26, 23, 24]"
"[60, 4, 53, 57]","[57, 53, 4, 60]"
"[9, 40, 18, 49, 12]","[12, 49, 18, 40, 9]"
"[47, 47, 19, 28, 58, 20]","[20, 58, 28, 19, 47, 47]"
"[60, 33, 7, 18, 60, 13, 28]","[28, 13, 60, 18, 7, 33, 60]"
"[4, 27, 8, 41, 17, 6, 38, 50]","[50, 38, 6, 17, 41, 8, 27, 4]"
"[5, 24, 29, 53, 34, 22, 26, 8, 26]","[26, 8, 26, 22, 34, 53, 29, 24, 5]"
"[60, 30, 9, 39]","[39, 9, 30, 60]"
"[32, 56, 15, 52, 53]","[53, 52, 15, 56, 32]"
"[12, 52, 52, 13, 41, 43]","[43, 41, 13, 52, 52, 12]"
"[7, 14, 18, 8, 20, 8, 18]","[18, 8, 20, 8, 18, 14, 7]"
"[36, 49, 15, 56, 28, 23, 29, 56]","[56, 29, 23, 28, 56, 15, 49, 36]"
"[58, 42, 38, 46, 28, 39, 31, 29, 56]","[56, 29, 31, 39, 28, 46, 38, 42, 58]"
"[51, 54, 45, 13]","[13, 45, 54, 51]"
"[35, 20, 14, 11, 56]","[56, 11, 14, 20, 35]"
"[42, 59, 46, 22, 58, 53]","[53, 58, 22, 46, 59, 42]"
"[23, 48, 49, 34, 50, 16, 17]","[17, 16, 50, 34, 49, 48, 23]"
"[13, 55, 13, 33, 22, 14, 11, 43]","[43, 11, 14, 22, 33, 13, 55, 13]"
"[22, 51, 42, 35, 21, 29, 9, 29, 58]","[58, 29, 9, 29, 21, 35, 42, 51, 22]"
"[41, 51, 27, 57]","[57, 27, 51, 41]"
"[21, 13, 7, 28, 56]","[56, 28, 7, 13, 21]"
"[59, 60, 17, 47, 12, 32]","[32, 12, 47, 17, 60, 59]"
"[25, 48, 28, 57, 45, 18, 41]","[41, 18, 45, 57, 28, 48, 25]"
"[42, 10, 60, 4, 17, 44, 41, 30]","[30, 41, 44, 17, 4, 60, 10, 42]"
"[12, 22, 6, 30, 57, 20, 55, 31, 46]","[46, 31, 55, 20, 57, 30, 6, 22, 12]"
"[44, 19, 27, 7]","[7, 27, 19, 44]"
"[50, 47, 59, 11, 41]","[41, 11, 59, 47, 50]"
"[49, 12, 10, 40, 58, 30]","[30, 58, 40, 10, 12, 49]"
"[56, 24, 27, 37, 16, 22, 49]","[49, 22, 16, 37, 27, 24, 56]"
"[55, 23, 35, 6, 42, 51, 29, 56]","[56, 29, 51, 42, 6, 35, 23, 55]"
"[60, 53, 47, 35, 53, 26, 7, 11, 33]","[33, 11, 7, 26, 53, 35, 47, 53, 60]"
"[16, 60, 42, 55]","[55, 42, 60, 16]"
"[58, 49, 52, 45, 9]","[9, 45, 52, 49, 58]"
"[60, 42, 16, 7, 54, 31]","[31, 54, 7, 16, 42, 60]"
"[34, 47, 12, 10, 43, 24, 34]","[34, 24, 43, 10, 12, 47, 34]"
"[56, 27, 36, 45, 41, 18, 20, 15]","[15, 20, 18, 41, 45, 36, 27, 56]"
"[17, 16, 16, 45, 16, 11, 36, 10, 54]","[54, 10, 36, 11, 16, 45, 16, 16, 17]"
"[39, 51, 18, 33]","[33, 18, 51, 39]"
"[24, 23, 33, 26, 23]","[23, 26, 33, 23, 24]"
"[4, 45, 25, 34, 6, 52]","[52, 6, 34, 25, 45, 4]"
"[7, 53, 41, 4, 7, 4, 44]","[44, 4, 7, 4, 41, 53, 7]"
"[25, 5, 28, 9, 51, 45, 57, 29]","[29, 57, 45, 51, 9, 28, 5, 25]"
"[28, 42, 29, 42, 36, 56, 48, 15, 15]","[15, 15, 48, 56, 36, 42, 29, 42, 28]"
"[49, 36, 34, 52]","[52, 34, 36, 49]"
"[55, 32, 25, 25, 38]","[38, 25, 25, 32, 55]"
"[52, 57, 55, 54, 22, 32]","[32, 22, 54, 55, 57, 52]"
"[36, 54, 19, 26, 44, 34, 41]","[41, 34, 44, 26, 19, 54, 36]"
"[29, 57, 47, 33, 31, 18, 33, 30]","[30, 33, 18, 31, 33, 47, 57, 29]"
"[18, 29, 35, 8, 28, 60, 25, 60, 37]","[37, 60, 25, 60, 28, 8, 35, 29, 18]"
"[55, 20, 50, 19]","[19, 50, 20, 55]"
"[52, 49, 24, 58, 9]","[9, 58, 24, 49, 52]"
"[32, 30, 33, 12, 22, 50]","[50, 22, 12, 33, 30, 32]"
"[53, 37, 55, 19, 10, 25, 16]","[16, 25, 10, 19, 55, 37, 53]"
"[11, 25, 5, 24, 22, 57, 8, 24]","[24, 8, 57, 22, 24, 5, 25, 11]"
"[17, 9, 45, 35, 20, 43, 29, 31, 59]","[59, 31, 29, 43, 20, 35, 45, 9, 17]"
"[26, 40, 45, 29]","[29, 45, 40, 26]"
"[43, 47, 43, 45, 57]","[57, 45, 43, 47, 43]"
"[56, 50, 50, 52, 18, 5]","[5, 18, 52, 50, 50, 56]"
"[20, 46, 29, 53, 8, 17, 14]","[14, 17, 8, 53, 29, 46, 20]"
"[22, 35, 11, 22, 59, 43, 12, 31]","[31, 12, 43, 59, 22, 11, 35, 22]"
"[37, 50, 50, 39, 57, 26, 28, 45, 18]","[18, 45, 28, 26, 57, 39, 50, 50, 37]"
"[21, 32, 19, 34]","[34, 19, 32, 21]"
"[27, 13, 11, 24, 16]","[16, 24, 11, 13, 27]"
"[22, 19, 36, 9, 60, 20]","[20, 60, 9, 36, 19, 22]"
"[4, 39, 28, 40, 28, 26, 6]","[6, 26, 28, 40, 28, 39, 4]"
"[18, 29, 53, 33, 48, 57, 23, 54]","[54, 23, 57, 48, 33, 53, 29, 18]"
"[28, 15, 35, 15, 4, 8, 25, 46, 19]","[19, 46, 25, 8, 4, 15, 35, 15, 28]"
"[9, 20, 14, 30]","[30, 14, 20, 9]"
"[26, 47, 32, 53, 11]","[11, 53, 32, 47, 26]"
"[56, 41, 39, 53, 33, 53]","[53, 33, 53, 39, 41, 56]"
"[20, 30, 51, 4, 14, 44, 21]","[21, 44, 14, 4, 51, 30, 20]"
"[35, 40, 26, 18, 34, 8, 18, 9]","[9, 18, 8, 34, 18, 26, 40, 35]"
"[45, 45, 60, 37, 51, 6, 26, 49, 8]","[8, 49, 26, 6, 51, 37, 60, 45, 45]"
"[21, 46, 36, 18]","[18, 36, 46, 21]"
"[11, 7, 44, 55, 16]","[16, 55, 44, 7, 11]"
"[40, 39, 22, 25, 41, 55]","[55, 41, 25, 22, 39, 40]"
"[30, 35, 11, 32, 44, 47, 16]","[16, 47, 44, 32, 11, 35, 30]"
"[14, 27, 13, 20, 24, 4, 7, 17]","[17, 7, 4, 24, 20, 13, 27, 14]"
"[16, 24, 38, 31, 33, 19, 17, 5, 13]","[13, 5, 17, 19, 33, 31, 38, 24, 16]"
"[15, 36, 22, 20]","[20, 22, 36, 15]"
"[44, 5, 59, 45, 4]","[4, 45, 59, 5, 44]"
"[25, 12, 48, 58, 47, 32]","[32, 47, 58, 48, 12, 25]"
"[57, 52, 48, 12, 17, 39, 11]","[11, 39, 17, 12, 48, 52, 57]"
"[19, 13, 56, 17, 19, 20, 55, 33]","[33, 55, 20, 19, 17, 56, 13, 19]"
"[59, 5, 24, 51, 22, 37, 34, 9, 24]","[24, 9, 34, 37, 22, 51, 24, 5, 59]"
"[43, 16, 13, 8]","[8, 13, 16, 43]"
"[40, 47, 23, 8, 8]","[8, 8, 23, 47, 40]"
"[14, 24, 39, 37, 7, 47]","[47, 7, 37, 39, 24, 14]"
"[53, 39, 20, 14, 55, 57, 40]","[40, 57, 55, 14, 20, 39, 53]"
"[43, 58, 8, 4, 12, 23, 50, 47]","[47, 50, 23, 12, 4, 8, 58, 43]"
"[59, 29, 26, 36, 37, 4, 41, 6, 23]","[23, 6, 41, 4, 37, 36, 26, 29, 59]"
"[38, 52, 55, 30]","[30, 55, 52, 38]"
"[47, 59, 39, 21, 5]","[5, 21, 39, 59, 47]"
"[53, 41, 35, 52, 20, 16]","[16, 20, 52, 35, 41, 53]"
"[27, 47, 49, 47, 16, 60, 9]","[9, 60, 16, 47, 49, 47, 27]"
"[19, 14, 14, 12, 37, 9, 54, 35]","[35, 54, 9, 37, 12, 14, 14, 19]"
"[43, 15, 36, 60, 34, 21, 55, 13, 8]","[8, 13, 55, 21, 34, 60, 36, 15, 43]"
"[5, 32, 49, 7]","[7, 49, 32, 5]"
"[24, 49, 41, 15, 11]","[11, 15, 41, 49, 24]"
"[55, 41, 38, 19, 49, 23]","[23, 49, 19, 38, 41, 55]"
"[15, 11, 12, 6, 42, 8, 23]","[23, 8, 42, 6, 12, 11, 15]"
"[57, 55, 55, 54, 11, 50, 34, 39]","[39, 34, 50, 11, 54, 55, 55, 57]"
"[14, 24, 53, 42, 26, 41, 25, 32, 34]","[34, 32, 25, 41, 26, 42, 53, 24, 14]"
"[5, 39, 7, 9]","[9, 7, 39, 5]"
"[40, 38, 28, 35, 18]","[18, 35, 28, 38, 40]"
"[38, 28, 24, 27, 52, 41]","[41, 52, 27, 24, 28, 38]"
"[48, 45, 36, 38, 13, 54, 45]","[45, 54, 13, 38, 36, 45, 48]"
"[57, 21, 55, 6, 57, 31, 20, 4]","[4, 20, 31, 57, 6, 55, 21, 57]"
"[31, 10, 32, 51, 55, 12, 28, 54, 35]","[35, 54, 28, 12, 55, 51, 32, 10, 31]"
"[17, 29, 30, 35]","[35, 30, 29, 17]"
"[10, 24, 27, 47, 24]","[24, 47, 27, 24, 10]"
"[18, 39, 24, 31, 31, 60]","[60, 31, 31, 24, 39, 18]"
"[5, 17, 53, 45, 28, 39, 40]","[40, 39, 28, 45, 53, 17, 5]"
"[31, 6, 26, 41, 43, 24, 26, 60]","[60, 26, 24, 43, 41, 26, 6, 31]"
"[55, 44, 53, 6, 48, 34, 19, 37, 12]","[12, 37, 19, 34, 48, 6, 53, 44, 55]"
"[42, 11, 30, 4]","[4, 30, 11, 42]"
"[21, 45, 37, 60, 59]","[59, 60, 37, 45, 21]"
"[32, 40, 25, 52, 52, 25]","[25, 52, 52, 25, 40, 32]"
"[46, 5, 18, 45, 49, 7, 26]","[26, 7, 49, 45, 18, 5, 46]"
"[5, 7, 48, 15, 12, 47, 47, 30]","[30, 47, 47, 12, 15, 48, 7, 5]"
"[49, 50, 6, 57, 34, 57, 54, 13, 14]","[14, 13, 54, 57, 34, 57, 6, 50, 49]"
"[41, 45, 46, 51]","[51, 46, 45, 41]"
"[54, 4, 48, 43, 57]","[57, 43, 48, 4, 54]"
"[4, 41, 20, 6, 51, 19]","[19, 51, 6, 20, 41, 4]"
"[60, 48, 21, 5, 31, 41, 38]","[38, 41, 31, 5, 21, 48, 60]"
"[49, 59, 58, 19, 57, 8, 60, 24]","[24, 60, 8, 57, 19, 58, 59, 49]"
"[20, 31, 59, 18, 30, 13, 53, 27, 27]","[27, 27, 53, 13, 30, 18, 59, 31, 20]"
"[45, 44, 12, 31]","[31, 12, 44, 45]"
