source,target
Do not question the cat or the scorpion,scorpion the or cat the question not Do
I wanted to question the cat but a scorpion stopped me,me stopped scorpion a but cat the question to wanted I
I wonder why the cat loves to question the scorpion,scorpion the question to loves cat the why wonder I
The cat serenades the scorpion,scorpion the serenades cat The
Please tell the cat and the scorpion to serenade me,me serenade to scorpion the and cat the tell Please
Do not serenade the cat or the scorpion,scorpion the or cat the serenade not Do
I wanted to serenade the cat but a scorpion stopped me,me stopped scorpion a but cat the serenade to wanted I
I wonder why the cat loves to serenade the scorpion,scorpion the serenade to loves cat the why wonder I
The cat bites the scorpion,scorpion the bites cat The
Please tell the cat and the scorpion to bite me,me bite to scorpion the and cat the tell Please
Do not bite the cat or the scorpion,scorpion the or cat the bite not Do
I wanted to bite the cat but a scorpion stopped me,me stopped scorpion a but cat the bite to wanted I
I wonder why the cat loves to bite the scorpion,scorpion the bite to loves cat the why wonder I
The cat hugs the scorpion,scorpion the hugs cat The
Please tell the cat and the scorpion to hug me,me hug to scorpion the and cat the tell Please
Do not hug the cat or the scorpion,scorpion the or cat the hug not Do
I wanted to hug the cat but a scorpion stopped me,me stopped scorpion a but cat the hug to wanted I
I wonder why the cat loves to hug the scorpion,scorpion the hug to loves cat the why wonder I
The cat defends the scorpion,scorpion the defends cat The
Please tell the cat and the scorpion to defend me,me defend to scorpion the and cat the tell Please
Do not defend the cat or the scorpion,scorpion the or cat the defend not Do
I wanted to defend the cat but a scorpion stopped me,me stopped scorpion a but cat the defend to wanted I
I wonder why the cat loves to defend the scorpion,scorpion the defend to loves cat the why wonder I
The cat saves the scorpion,scorpion the saves cat The
Please tell the cat and the scorpion to save me,me save to scorpion the and cat the tell Please
Do not save the cat or the scorpion,scorpion the or cat the save not Do
I wanted to save the cat but a scorpion stopped me,me stopped scorpion a but cat the save to wanted I
I wonder why the cat loves to save the scorpion,scorpion the save to loves cat the why wonder I
The cat paints the scorpion,scorpion the paints cat The
Please tell the cat and the scorpion to paint me,me paint to scorpion the and cat the tell Please
Do not paint the cat or the scorpion,scorpion the or cat the paint not Do
I wanted to paint the cat but a scorpion stopped me,me stopped scorpion a but cat the paint to wanted I
I wonder why the cat loves to paint the scorpion,scorpion the paint to loves cat the why wonder I
The cat illustrates the scorpion,scorpion the illustrates cat The
Please tell the cat and the scorpion to illustrate me,me illustrate to scorpion the and cat the tell Please
Do not illustrate the cat or the scorpion,scorpion the or cat the illustrate not Do
I wanted to illustrate the cat but a scorpion stopped me,me stopped scorpion a but cat the illustrate to wanted I
I wonder why the cat loves to illustrate the scorpion,scorpion the illustrate to loves cat the why wonder I
The cat meets the ferret,ferret the meets cat The
Please tell the cat and the ferret to meet me,me meet to ferret the and cat the tell Please
Do not meet the cat or the ferret,ferret the or cat the meet not Do
I wanted to meet the cat but a ferret stopped me,me stopped ferret a but cat the meet to wanted I
I wonder why the cat loves to meet the ferret,ferret the meet to loves cat the why wonder I
The cat likes the ferret,ferret the likes cat The
Please tell the cat and the ferret to like me,me like to ferret the and cat the tell Please
Do not like the cat or the ferret,ferret the or cat the like not Do
I wanted to like the cat but a ferret stopped me,me stopped ferret a but cat the like to wanted I
I wonder why the cat loves to like the ferret,ferret the like to loves cat the why wonder I
The cat dislikes the ferret,ferret the dislikes cat The
Please tell the cat and the ferret to dislike me,me dislike to ferret the and cat the tell Please
Do not dislike the cat or the ferret,ferret the or cat the dislike not Do
I wanted to dislike the cat but a ferret stopped me,me stopped ferret a but cat the dislike to wanted I
I wonder why the cat loves to dislike the ferret,ferret the dislike to loves cat the why wonder I
The cat challenges the ferret,ferret the challenges cat The
Please tell the cat and the ferret to challenge me,me challenge to ferret the and cat the tell Please
Do not challenge the cat or the ferret,ferret the or cat the challenge not Do
I wanted to challenge the cat but a ferret stopped me,me stopped ferret a but cat the challenge to wanted I
I wonder why the cat loves to challenge the ferret,ferret the challenge to loves cat the why wonder I
The cat befriends the ferret,ferret the befriends cat The
Please tell the cat and the ferret to befriend me,me befriend to ferret the and cat the tell Please
Do not befriend the cat or the ferret,ferret the or cat the befriend not Do
I wanted to befriend the cat but a ferret stopped me,me stopped ferret a but cat the befriend to wanted I
I wonder why the cat loves to befriend the ferret,ferret the befriend to loves cat the why wonder I
The cat celebrates the ferret,ferret the celebrates cat The
Please tell the cat and the ferret to celebrate me,me celebrate to ferret the and cat the tell Please
Do not celebrate the cat or the ferret,ferret the or cat the celebrate not Do
I wanted to celebrate the cat but a ferret stopped me,me stopped ferret a but cat the celebrate to wanted I
I wonder why the cat loves to celebrate the ferret,ferret the celebrate to loves cat the why wonder I
The cat swordfights the ferret,ferret the swordfights cat The
Please tell the cat and the ferret to swordfight me,me swordfight to ferret the and cat the tell Please
Do not swordfight the cat or the ferret,ferret the or cat the swordfight not Do
I wanted to swordfight the cat but a ferret stopped me,me stopped ferret a but cat the swordfight to wanted I
I wonder why the cat loves to swordfight the ferret,ferret the swordfight to loves cat the why wonder I
The cat questions the ferret,ferret the questions cat The
Please tell the cat and the ferret to question me,me question to ferret the and cat the tell Please
Do not question the cat or the ferret,ferret the or cat the question not Do
I wanted to question the cat but a ferret stopped me,me stopped ferret a but cat the question to wanted I
I wonder why the cat loves to question the ferret,ferret the question to loves cat the why wonder I
The cat serenades the ferret,ferret the serenades cat The
Please tell the cat and the ferret to serenade me,me serenade to ferret the and cat the tell Please
Do not serenade the cat or the ferret,ferret the or cat the serenade not Do
I wanted to serenade the cat but a ferret stopped me,me stopped ferret a but cat the serenade to wanted I
I wonder why the cat loves to serenade the ferret,ferret the serenade to loves cat the why wonder I
The cat bites the ferret,ferret the bites cat The
Please tell the cat and the ferret to bite me,me bite to ferret the and cat the tell Please
Do not bite the cat or the ferret,ferret the or cat the bite not Do
I wanted to bite the cat but a ferret stopped me,me stopped ferret a but cat the bite to wanted I
I wonder why the cat loves to bite the ferret,ferret the bite to loves cat the why wonder I
The cat hugs the ferret,ferret the hugs cat The
Please tell the cat and the ferret to hug me,me hug to ferret the and cat the tell Please
Do not hug the cat or the ferret,ferret the or cat the hug not Do
I wanted to hug the cat but a ferret stopped me,me stopped ferret a but cat the hug to wanted I
I wonder why the cat loves to hug the ferret,ferret the hug to loves cat the why wonder I
The cat defends the ferret,ferret the defends cat The
Please tell the cat and the ferret to defend me,me defend to ferret the and cat the tell Please
Do not defend the cat or the ferret,ferret the or cat the defend not Do
I wanted to defend the cat but a ferret stopped me,me stopped ferret a but cat the defend to wanted I
I wonder why the cat loves to defend the ferret,ferret the defend to loves cat the why wonder I
The cat saves the ferret,ferret the saves cat The
Please tell the cat and the ferret to save me,me save to ferret the and cat the tell Please
Do not save the cat or the ferret,ferret the or cat the save not Do
I wanted to save the cat but a ferret stopped me,me stopped ferret a but cat the save to wanted I
I wonder why the cat loves to save the ferret,ferret the save to loves cat the why wonder I
The cat paints the ferret,ferret the paints cat The
Please tell the cat and the ferret to paint me,me paint to ferret the and cat the tell Please
Do not paint the cat or the ferret,ferret the or cat the paint not Do
I wanted to paint the cat but a ferret stopped me,me stopped ferret a but cat the paint to wanted I
I wonder why the cat loves to paint the ferret,ferret the paint to loves cat the why wonder I
The cat illustrates the ferret,ferret the illustrates cat The
Please tell the cat and the ferret to illustrate me,me illustrate to ferret the and cat the tell Please
Do not illustrate the cat or the ferret,ferret the or cat the illustrate not Do
I wanted to illustrate the cat but a ferret stopped me,me stopped ferret a but cat the illustrate to wanted I
I wonder why the cat loves to illustrate the ferret,ferret the illustrate to loves cat the why wonder I
The cat meets the chicken,chicken the meets cat The
Please tell the cat and the chicken to meet me,me meet to chicken the and cat the tell Please
Do not meet the cat or the chicken,chicken the or cat the meet not Do
I wanted to meet the cat but a chicken stopped me,me stopped chicken a but cat the meet to wanted I
I wonder why the cat loves to meet the chicken,chicken the meet to loves cat the why wonder I
The cat likes the chicken,chicken the likes cat The
Please tell the cat and the chicken to like me,me like to chicken the and cat the tell Please
Do not like the cat or the chicken,chicken the or cat the like not Do
I wanted to like the cat but a chicken stopped me,me stopped chicken a but cat the like to wanted I
I wonder why the cat loves to like the chicken,chicken the like to loves cat the why wonder I
The cat dislikes the chicken,chicken the dislikes cat The
Please tell the cat and the chicken to dislike me,me dislike to chicken the and cat the tell Please
Do not dislike the cat or the chicken,chicken the or cat the dislike not Do
I wanted to dislike the cat but a chicken stopped me,me stopped chicken a but cat the dislike to wanted I
I wonder why the cat loves to dislike the chicken,chicken the dislike to loves cat the why wonder I
The cat challenges the chicken,chicken the challenges cat The
Please tell the cat and the chicken to challenge me,me challenge to chicken the and cat the tell Please
Do not challenge the cat or the chicken,chicken the or cat the challenge not Do
I wanted to challenge the cat but a chicken stopped me,me stopped chicken a but cat the challenge to wanted I
I wonder why the cat loves to challenge the chicken,chicken the challenge to loves cat the why wonder I
The cat befriends the chicken,chicken the befriends cat The
Please tell the cat and the chicken to befriend me,me befriend to chicken the and cat the tell Please
Do not befriend the cat or the chicken,chicken the or cat the befriend not Do
I wanted to befriend the cat but a chicken stopped me,me stopped chicken a but cat the befriend to wanted I
I wonder why the cat loves to befriend the chicken,chicken the befriend to loves cat the why wonder I
The cat celebrates the chicken,chicken the celebrates cat The
Please tell the cat and the chicken to celebrate me,me celebrate to chicken the and cat the tell Please
Do not celebrate the cat or the chicken,chicken the or cat the celebrate not Do
I wanted to celebrate the cat but a chicken stopped me,me stopped chicken a but cat the celebrate to wanted I
I wonder why the cat loves to celebrate the chicken,chicken the celebrate to loves cat the why wonder I
The cat swordfights the chicken,chicken the swordfights cat The
Please tell the cat and the chicken to swordfight me,me swordfight to chicken the and cat the tell Please
Do not swordfight the cat or the chicken,chicken the or cat the swordfight not Do
I wanted to swordfight the cat but a chicken stopped me,me stopped chicken a but cat the swordfight to wanted I
I wonder why the cat loves to swordfight the chicken,chicken the swordfight to loves cat the why wonder I
The cat questions the chicken,chicken the questions cat The
Please tell the cat and the chicken to question me,me question to chicken the and cat the tell Please
Do not question the cat or the chicken,chicken the or cat the question not Do
I wanted to question the cat but a chicken stopped me,me stopped chicken a but cat the question to wanted I
I wonder why the cat loves to question the chicken,chicken the question to loves cat the why wonder I
The cat serenades the chicken,chicken the serenades cat The
Please tell the cat and the chicken to serenade me,me serenade to chicken the and cat the tell Please
Do not serenade the cat or the chicken,chicken the or cat the serenade not Do
I wanted to serenade the cat but a chicken stopped me,me stopped chicken a but cat the serenade to wanted I
I wonder why the cat loves to serenade the chicken,chicken the serenade to loves cat the why wonder I
The cat bites the chicken,chicken the bites cat The
Please tell the cat and the chicken to bite me,me bite to chicken the and cat the tell Please
Do not bite the cat or the chicken,chicken the or cat the bite not Do
I wanted to bite the cat but a chicken stopped me,me stopped chicken a but cat the bite to wanted I
I wonder why the cat loves to bite the chicken,chicken the bite to loves cat the why wonder I
The cat hugs the chicken,chicken the hugs cat The
Please tell the cat and the chicken to hug me,me hug to chicken the and cat the tell Please
Do not hug the cat or the chicken,chicken the or cat the hug not Do
I wanted to hug the cat but a chicken stopped me,me stopped chicken a but cat the hug to wanted I
I wonder why the cat loves to hug the chicken,chicken the hug to loves cat the why wonder I
The cat defends the chicken,chicken the defends cat The
Please tell the cat and the chicken to defend me,me defend to chicken the and cat the tell Please
Do not defend the cat or the chicken,chicken the or cat the defend not Do
I wanted to defend the cat but a chicken stopped me,me stopped chicken a but cat the defend to wanted I
I wonder why the cat loves to defend the chicken,chicken the defend to loves cat the why wonder I
The cat saves the chicken,chicken the saves cat The
Please tell the cat and the chicken to save me,me save to chicken the and cat the tell Please
Do not save the cat or the chicken,chicken the or cat the save not Do
I wanted to save the cat but a chicken stopped me,me stopped chicken a but cat the save to wanted I
I wonder why the cat loves to save the chicken,chicken the save to loves cat the why wonder I
The cat paints the chicken,chicken the paints cat The
Please tell the cat and the chicken to paint me,me paint to chicken the and cat the tell Please
Do not paint the cat or the chicken,chicken the or cat the paint not Do
I wanted to paint the cat but a chicken stopped me,me stopped chicken a but cat the paint to wanted I
I wonder why the cat loves to paint the chicken,chicken the paint to loves cat the why wonder I
The cat illustrates the chicken,chicken the illustrates cat The
Please tell the cat and the chicken to illustrate me,me illustrate to chicken the and cat the tell Please
Do not illustrate the cat or the chicken,chicken the or cat the illustrate not Do
I wanted to illustrate the cat but a chicken stopped me,me stopped chicken a but cat the illustrate to wanted I
I wonder why the cat loves to illustrate the chicken,chicken the illustrate to loves cat the why wonder I
The cat meets the mouse,mouse the meets cat The
Please tell the cat and the mouse to meet me,me meet to mouse the and cat the tell Please
Do not meet the cat or the mouse,mouse the or cat the meet not Do
I wanted to meet the cat but a mouse stopped me,me stopped mouse a but cat the meet to wanted I
I wonder why the cat loves to meet the mouse,mouse the meet to loves cat the why wonder I
The cat likes the mouse,mouse the likes cat The
Please tell the cat and the mouse to like me,me like to mouse the and cat the tell Please
Do not like the cat or the mouse,mouse the or cat the like not Do
I wanted to like the cat but a mouse stopped me,me stopped mouse a but cat the like to wanted I
I wonder why the cat loves to like the mouse,mouse the like to loves cat the why wonder I
The cat dislikes the mouse,mouse the dislikes cat The
Please tell the cat and the mouse to dislike me,me dislike to mouse the and cat the tell Please
Do not dislike the cat or the mouse,mouse the or cat the dislike not Do
I wanted to dislike the cat but a mouse stopped me,me stopped mouse a but cat the dislike to wanted I
I wonder why the cat loves to dislike the mouse,mouse the dislike to loves cat the why wonder I
The cat challenges the mouse,mouse the challenges cat The
Please tell the cat and the mouse to challenge me,me challenge to mouse the and cat the tell Please
Do not challenge the cat or the mouse,mouse the or cat the challenge not Do
I wanted to challenge the cat but a mouse stopped me,me stopped mouse a but cat the challenge to wanted I
I wonder why the cat loves to challenge the mouse,mouse the challenge to loves cat the why wonder I
The cat befriends the mouse,mouse the befriends cat The
Please tell the cat and the mouse to befriend me,me befriend to mouse the and cat the tell Please
Do not befriend the cat or the mouse,mouse the or cat the befriend not Do
I wanted to befriend the cat but a mouse stopped me,me stopped mouse a but cat the befriend to wanted I
I wonder why the cat loves to befriend the mouse,mouse the befriend to loves cat the why wonder I
The cat celebrates the mouse,mouse the celebrates cat The
Please tell the cat and the mouse to celebrate me,me celebrate to mouse the and cat the tell Please
Do not celebrate the cat or the mouse,mouse the or cat the celebrate not Do
I wanted to celebrate the cat but a mouse stopped me,me stopped mouse a but cat the celebrate to wanted I
I wonder why the cat loves to celebrate the mouse,mouse the celebrate to loves cat the why wonder I
The cat swordfights the mouse,mouse the swordfights cat The
Please tell the cat and the mouse to swordfight me,me swordfight to mouse the and cat the tell Please
Do not swordfight the cat or the mouse,mouse the or cat the swordfight not Do
I wanted to swordfight the cat but a mouse stopped me,me stopped mouse a but cat the swordfight to wanted I
I wonder why the cat loves to swordfight the mouse,mouse the swordfight to loves cat the why wonder I
The cat questions the mouse,mouse the questions cat The
Please tell the cat and the mouse to question me,me question to mouse the and cat the tell Please
Do not question the cat or the mouse,mouse the or cat the question not Do
I wanted to question the cat but a mouse stopped me,me stopped mouse a but cat the question to wanted I
I wonder why the cat loves to question the mouse,mouse the question to loves cat the why wonder I
The cat serenades the mouse,mouse the serenades cat The
Please tell the cat and the mouse to serenade me,me serenade to mouse the and cat the tell Please
Do not serenade the cat or the mouse,mouse the or cat the serenade not Do
I wanted to serenade the cat but a mouse stopped me,me stopped mouse a but cat the serenade to wanted I
I wonder why the cat loves to serenade the mouse,mouse the serenade to loves cat the why wonder I
The cat bites the mouse,mouse the bites cat The
Please tell the cat and the mouse to bite me,me bite to mouse the and cat the tell Please
Do not bite the cat or the mouse,mouse the or cat the bite not Do
I wanted to bite the cat but a mouse stopped me,me stopped mouse a but cat the bite to wanted I
I wonder why the cat loves to bite the mouse,mouse the bite to loves cat the why wonder I
The cat hugs the mouse,mouse the hugs cat The
Please tell the cat and the mouse to hug me,me hug to mouse the and cat the tell Please
Do not hug the cat or the mouse,mouse the or cat the hug not Do
I wanted to hug the cat but a mouse stopped me,me stopped mouse a but cat the hug to wanted I
I wonder why the cat loves to hug the mouse,mouse the hug to loves cat the why wonder I
The cat defends the mouse,mouse the defends cat The
Please tell the cat and the mouse to defend me,me defend to mouse the and cat the tell Please
Do not defend the cat or the mouse,mouse the or cat the defend not Do
I wanted to defend the cat but a mouse stopped me,me stopped mouse a but cat the defend to wanted I
I wonder why the cat loves to defend the mouse,mouse the defend to loves cat the why wonder I
The cat saves the mouse,mouse the saves cat The
Please tell the cat and the mouse to save me,me save to mouse the and cat the tell Please
Do not save the cat or the mouse,mouse the or cat the save not Do
I wanted to save the cat but a mouse stopped me,me stopped mouse a but cat the save to wanted I
I wonder why the cat loves to save the mouse,mouse the save to loves cat the why wonder I
The cat paints the mouse,mouse the paints cat The
Please tell the cat and the mouse to paint me,me paint to mouse the and cat the tell Please
Do not paint the cat or the mouse,mouse the or cat the paint not Do
I wanted to paint the cat but a mouse stopped me,me stopped mouse a but cat the paint to wanted I
I wonder why the cat loves to paint the mouse,mouse the paint to loves cat the why wonder I
The cat illustrates the mouse,mouse the illustrates cat The
Please tell the cat and the mouse to illustrate me,me illustrate to mouse the and cat the tell Please
Do not illustrate the cat or the mouse,mouse the or cat the illustrate not Do
I wanted to illustrate the cat but a mouse stopped me,me stopped mouse a but cat the illustrate to wanted I
I wonder why the cat loves to illustrate the mouse,mouse the illustrate to loves cat the why wonder I
The cat meets the man,man the meets cat The
Please tell the cat and the man to meet me,me meet to man the and cat the tell Please
Do not meet the cat or the man,man the or cat the meet not Do
I wanted to meet the cat but a man stopped me,me stopped man a but cat the meet to wanted I
I wonder why the cat loves to meet the man,man the meet to loves cat the why wonder I
The cat likes the man,man the likes cat The
Please tell the cat and the man to like me,me like to man the and cat the tell Please
Do not like the cat or the man,man the or cat the like not Do
I wanted to like the cat but a man stopped me,me stopped man a but cat the like to wanted I
I wonder why the cat loves to like the man,man the like to loves cat the why wonder I
The cat dislikes the man,man the dislikes cat The
Please tell the cat and the man to dislike me,me dislike to man the and cat the tell Please
Do not dislike the cat or the man,man the or cat the dislike not Do
I wanted to dislike the cat but a man stopped me,me stopped man a but cat the dislike to wanted I
I wonder why the cat loves to dislike the man,man the dislike to loves cat the why wonder I
The cat challenges the man,man the challenges cat The
Please tell the cat and the man to challenge me,me challenge to man the and cat the tell Please
Do not challenge the cat or the man,man the or cat the challenge not Do
I wanted to challenge the cat but a man stopped me,me stopped man a but cat the challenge to wanted I
I wonder why the cat loves to challenge the man,man the challenge to loves cat the why wonder I
The cat befriends the man,man the befriends cat The
Please tell the cat and the man to befriend me,me befriend to man the and cat the tell Please
Do not befriend the cat or the man,man the or cat the befriend not Do
I wanted to befriend the cat but a man stopped me,me stopped man a but cat the befriend to wanted I
I wonder why the cat loves to befriend the man,man the befriend to loves cat the why wonder I
The cat celebrates the man,man the celebrates cat The
Please tell the cat and the man to celebrate me,me celebrate to man the and cat the tell Please
Do not celebrate the cat or the man,man the or cat the celebrate not Do
I wanted to celebrate the cat but a man stopped me,me stopped man a but cat the celebrate to wanted I
I wonder why the cat loves to celebrate the man,man the celebrate to loves cat the why wonder I
The cat swordfights the man,man the swordfights cat The
Please tell the cat and the man to swordfight me,me swordfight to man the and cat the tell Please
Do not swordfight the cat or the man,man the or cat the swordfight not Do
I wanted to swordfight the cat but a man stopped me,me stopped man a but cat the swordfight to wanted I
I wonder why the cat loves to swordfight the man,man the swordfight to loves cat the why wonder I
The cat questions the man,man the questions cat The
Please tell the cat and the man to question me,me question to man the and cat the tell Please
Do not question the cat or the man,man the or cat the question not Do
I wanted to question the cat but a man stopped me,me stopped man a but cat the question to wanted I
I wonder why the cat loves to question the man,man the question to loves cat the why wonder I
The cat serenades the man,man the serenades cat The
Please tell the cat and the man to serenade me,me serenade to man the and cat the tell Please
Do not serenade the cat or the man,man the or cat the serenade not Do
I wanted to serenade the cat but a man stopped me,me stopped man a but cat the serenade to wanted I
I wonder why the cat loves to serenade the man,man the serenade to loves cat the why wonder I
The cat bites the man,man the bites cat The
Please tell the cat and the man to bite me,me bite to man the and cat the tell Please
Do not bite the cat or the man,man the or cat the bite not Do
I wanted to bite the cat but a man stopped me,me stopped man a but cat the bite to wanted I
I wonder why the cat loves to bite the man,man the bite to loves cat the why wonder I
The cat hugs the man,man the hugs cat The
Please tell the cat and the man to hug me,me hug to man the and cat the tell Please
Do not hug the cat or the man,man the or cat the hug not Do
I wanted to hug the cat but a man stopped me,me stopped man a but cat the hug to wanted I
I wonder why the cat loves to hug the man,man the hug to loves cat the why wonder I
The cat defends the man,man the defends cat The
Please tell the cat and the man to defend me,me defend to man the and cat the tell Please
Do not defend the cat or the man,man the or cat the defend not Do
I wanted to defend the cat but a man stopped me,me stopped man a but cat the defend to wanted I
I wonder why the cat loves to defend the man,man the defend to loves cat the why wonder I
The cat saves the man,man the saves cat The
Please tell the cat and the man to save me,me save to man the and cat the tell Please
Do not save the cat or the man,man the or cat the save not Do
I wanted to save the cat but a man stopped me,me stopped man a but cat the save to wanted I
I wonder why the cat loves to save the man,man the save to loves cat the why wonder I
The cat paints the man,man the paints cat The
Please tell the cat and the man to paint me,me paint to man the and cat the tell Please
Do not paint the cat or the man,man the or cat the paint not Do
I wanted to paint the cat but a man stopped me,me stopped man a but cat the paint to wanted I
I wonder why the cat loves to paint the man,man the paint to loves cat the why wonder I
The cat illustrates the man,man the illustrates cat The
Please tell the cat and the man to illustrate me,me illustrate to man the and cat the tell Please
Do not illustrate the cat or the man,man the or cat the illustrate not Do
I wanted to illustrate the cat but a man stopped me,me stopped man a but cat the illustrate to wanted I
I wonder why the cat loves to illustrate the man,man the illustrate to loves cat the why wonder I
The cat meets the dog,dog the meets cat The
Please tell the cat and the dog to meet me,me meet to dog the and cat the tell Please
Do not meet the cat or the dog,dog the or cat the meet not Do
I wanted to meet the cat but a dog stopped me,me stopped dog a but cat the meet to wanted I
I wonder why the cat loves to meet the dog,dog the meet to loves cat the why wonder I
The cat likes the dog,dog the likes cat The
Please tell the cat and the dog to like me,me like to dog the and cat the tell Please
Do not like the cat or the dog,dog the or cat the like not Do
I wanted to like the cat but a dog stopped me,me stopped dog a but cat the like to wanted I
I wonder why the cat loves to like the dog,dog the like to loves cat the why wonder I
The cat dislikes the dog,dog the dislikes cat The
Please tell the cat and the dog to dislike me,me dislike to dog the and cat the tell Please
Do not dislike the cat or the dog,dog the or cat the dislike not Do
I wanted to dislike the cat but a dog stopped me,me stopped dog a but cat the dislike to wanted I
I wonder why the cat loves to dislike the dog,dog the dislike to loves cat the why wonder I
The cat challenges the dog,dog the challenges cat The
Please tell the cat and the dog to challenge me,me challenge to dog the and cat the tell Please
Do not challenge the cat or the dog,dog the or cat the challenge not Do
I wanted to challenge the cat but a dog stopped me,me stopped dog a but cat the challenge to wanted I
I wonder why the cat loves to challenge the dog,dog the challenge to loves cat the why wonder I
The cat befriends the dog,dog the befriends cat The
Please tell the cat and the dog to befriend me,me befriend to dog the and cat the tell Please
Do not befriend the cat or the dog,dog the or cat the befriend not Do
I wanted to befriend the cat but a dog stopped me,me stopped dog a but cat the befriend to wanted I
I wonder why the cat loves to befriend the dog,dog the befriend to loves cat the why wonder I
The cat celebrates the dog,dog the celebrates cat The
Please tell the cat and the dog to celebrate me,me celebrate to dog the and cat the tell Please
Do not celebrate the cat or the dog,dog the or cat the celebrate not Do
I wanted to celebrate the cat but a dog stopped me,me stopped dog a but cat the celebrate to wanted I
I wonder why the cat loves to celebrate the dog,dog the celebrate to loves cat the why wonder I
The cat swordfights the dog,dog the swordfights cat The
Please tell the cat and the dog to swordfight me,me swordfight to dog the and cat the tell Please
Do not swordfight the cat or the dog,dog the or cat the swordfight not Do
I wanted to swordfight the cat but a dog stopped me,me stopped dog a but cat the swordfight to wanted I
I wonder why the cat loves to swordfight the dog,dog the swordfight to loves cat the why wonder I
The cat questions the dog,dog the questions cat The
Please tell the cat and the dog to question me,me question to dog the and cat the tell Please
Do not question the cat or the dog,dog the or cat the question not Do
I wanted to question the cat but a dog stopped me,me stopped dog a but cat the question to wanted I
I wonder why the cat loves to question the dog,dog the question to loves cat the why wonder I
The cat serenades the dog,dog the serenades cat The
Please tell the cat and the dog to serenade me,me serenade to dog the and cat the tell Please
Do not serenade the cat or the dog,dog the or cat the serenade not Do
I wanted to serenade the cat but a dog stopped me,me stopped dog a but cat the serenade to wanted I
I wonder why the cat loves to serenade the dog,dog the serenade to loves cat the why wonder I
The cat bites the dog,dog the bites cat The
Please tell the cat and the dog to bite me,me bite to dog the and cat the tell Please
Do not bite the cat or the dog,dog the or cat the bite not Do
I wanted to bite the cat but a dog stopped me,me stopped dog a but cat the bite to wanted I
I wonder why the cat loves to bite the dog,dog the bite to loves cat the why wonder I
The cat hugs the dog,dog the hugs cat The
Please tell the cat and the dog to hug me,me hug to dog the and cat the tell Please
Do not hug the cat or the dog,dog the or cat the hug not Do
I wanted to hug the cat but a dog stopped me,me stopped dog a but cat the hug to wanted I
I wonder why the cat loves to hug the dog,dog the hug to loves cat the why wonder I
The cat defends the dog,dog the defends cat The
Please tell the cat and the dog to defend me,me defend to dog the and cat the tell Please
Do not defend the cat or the dog,dog the or cat the defend not Do
I wanted to defend the cat but a dog stopped me,me stopped dog a but cat the defend to wanted I
I wonder why the cat loves to defend the dog,dog the defend to loves cat the why wonder I
The cat saves the dog,dog the saves cat The
Please tell the cat and the dog to save me,me save to dog the and cat the tell Please
